step,split,loss
1,train,0.7132849991321564
2,train,0.21914567798376083
3,train,0.317411907017231
4,train,0.8384110629558563
5,train,0.5633211880922318
6,train,1.0340964496135712
7,train,0.7680137483403087
8,train,0.6178339421749115
9,train,0.4959087371826172
10,train,0.370676726102829
11,train,0.21230298653244972
12,train,0.32527149468660355
13,train,0.18333522602915764
14,train,0.34382030740380287
15,train,0.4429653137922287
16,train,0.13803852163255215
17,train,0.3156927824020386
18,train,0.303723594173789
19,train,0.19258827716112137
20,train,0.14787323772907257
21,train,0.40143274143338203
22,train,0.2581583485007286
23,train,0.18948399648070335
24,train,0.38060892559587955
25,train,0.19221319630742073
26,train,0.27846719324588776
27,train,0.26349418610334396
28,train,0.24196465872228146
29,train,0.3122834041714668
30,train,0.1570764947682619
31,train,0.22916307859122753
32,train,0.31239452958106995
33,train,0.20833779498934746
34,train,0.18035495467483997
35,train,0.14108062908053398
36,train,0.13053278997540474
37,train,0.20101999677717686
38,train,0.19605440273880959
39,train,0.1695639155805111
40,train,0.2646296648308635
41,train,0.19271942600607872
42,train,0.17638244107365608
43,train,0.2916301414370537
44,train,0.22198710963129997
45,train,0.3083064667880535
46,train,0.1961001642048359
47,train,0.25279585272073746
48,train,0.17326357029378414
49,train,0.17736468091607094
50,train,0.25729260221123695
51,train,0.1691419593989849
52,train,0.29284345358610153
53,train,0.24162815883755684
54,train,0.2154935747385025
55,train,0.2148868516087532
56,train,0.2529108263552189
57,train,0.23615140467882156
58,train,0.16011038422584534
59,train,0.2263745442032814
60,train,0.2391945719718933
61,train,0.2501060925424099
62,train,0.18021171540021896
63,train,0.1486385241150856
64,train,0.18995957262814045
65,train,0.23570074141025543
66,train,0.16821954026818275
67,train,0.2549503333866596
68,train,0.1898285076022148
69,train,0.13995415717363358
70,train,0.18349652364850044
71,train,0.25188373029232025
72,train,0.12254981510341167
73,train,0.17653275653719902
74,train,0.18178053200244904
75,train,0.22370704263448715
76,train,0.15603644400835037
77,train,0.12944071553647518
78,train,0.17521013505756855
79,train,0.2913220915943384
80,train,0.3905547186732292
81,train,0.19779604207724333
82,train,0.23029025085270405
83,train,0.21332505531609058
84,train,0.2240944802761078
85,train,0.24761702492833138
86,train,0.33676164597272873
87,train,0.15970668382942677
88,train,0.2175317034125328
89,train,0.3107844777405262
90,train,0.24483159184455872
91,train,0.22505848482251167
92,train,0.2374098300933838
93,train,0.26961055770516396
94,train,0.25003718584775925
95,train,0.21366973593831062
96,train,0.19988078624010086
97,train,0.2230553887784481
98,train,0.2592960000038147
99,train,0.151670902967453
100,train,0.1786791756749153
101,train,0.207251388579607
102,train,0.15632010251283646
103,train,0.16240689903497696
104,train,0.20478432811796665
105,train,0.29102209210395813
106,train,0.28050655499100685
107,train,0.20937000960111618
108,train,0.24490652605891228
109,train,0.1431697178632021
110,train,0.24287965521216393
111,train,0.20589560270309448
112,train,0.2543341815471649
113,train,0.1636740155518055
114,train,0.1998920999467373
115,train,0.17078064382076263
116,train,0.2544393874704838
117,train,0.2171214446425438
118,train,0.17914599925279617
119,train,0.17312738858163357
120,train,0.2521756161004305
121,train,0.14247783087193966
122,train,0.27777962014079094
123,train,0.19411085732281208
124,train,0.17548664472997189
125,train,0.2147672027349472
126,train,0.24036984518170357
127,train,0.16617227345705032
128,train,0.23023609071969986
129,train,0.13559015281498432
130,train,0.23570639081299305
131,train,0.17844274640083313
132,train,0.2187503557652235
133,train,0.26058545149862766
134,train,0.2230966966599226
135,train,0.2132089100778103
136,train,0.24240059033036232
137,train,0.17523888684809208
138,train,0.18438507989048958
139,train,0.26354367285966873
140,train,0.22794378362596035
141,train,0.24617659859359264
142,train,0.2130508366972208
143,train,0.26418372988700867
144,train,0.18561267480254173
145,train,0.18439172208309174
146,train,0.18531606905162334
147,train,0.22597936540842056
148,train,0.2084001488983631
149,train,0.1872505284845829
150,train,0.1627412624657154
151,train,0.24510609731078148
152,train,0.22661470249295235
153,train,0.16898848861455917
154,train,0.15491315722465515
155,train,0.21518361940979958
156,train,0.18005133233964443
157,train,0.22726552188396454
158,train,0.21209799498319626
159,train,0.24438692070543766
160,train,0.1668673362582922
161,train,0.27285031229257584
162,train,0.20133654586970806
163,train,0.26504116132855415
164,train,0.2810257375240326
164,val,0.21608995556088953
165,train,0.30664555728435516
166,train,0.14284507744014263
167,train,0.19483879581093788
168,train,0.16377682238817215
169,train,0.31064823642373085
170,train,0.229053420946002
171,train,0.2089309375733137
172,train,0.19407185167074203
173,train,0.2132271621376276
174,train,0.1301689464598894
175,train,0.21463018655776978
176,train,0.20127435214817524
177,train,0.2017839513719082
178,train,0.2062899563461542
179,train,0.18164370208978653
180,train,0.17340931482613087
181,train,0.297495249658823
182,train,0.24245251342654228
183,train,0.14555875770747662
184,train,0.24807526916265488
185,train,0.13719239830970764
186,train,0.25986751168966293
187,train,0.19731024280190468
188,train,0.19391521997749805
189,train,0.21739775128662586
190,train,0.17875782400369644
191,train,0.3095013499259949
192,train,0.15531078353524208
193,train,0.22421569749712944
194,train,0.17382999695837498
195,train,0.20318369567394257
196,train,0.2781156003475189
197,train,0.20880596339702606
198,train,0.20181365683674812
199,train,0.1833447776734829
200,train,0.22290627099573612
201,train,0.2031250111758709
202,train,0.159983666613698
203,train,0.20198139548301697
204,train,0.23896208964288235
205,train,0.14796819537878036
206,train,0.10669546760618687
207,train,0.1914253905415535
208,train,0.20064576156437397
209,train,0.20985516346991062
210,train,0.19286110624670982
211,train,0.21814021840691566
212,train,0.241757370531559
213,train,0.29533110931515694
214,train,0.09607256948947906
215,train,0.2517653815448284
216,train,0.20795217342674732
217,train,0.3142812252044678
218,train,0.19080441445112228
219,train,0.3294137865304947
220,train,0.1782439835369587
221,train,0.2011958286166191
222,train,0.2975545562803745
223,train,0.17656437866389751
224,train,0.15320941805839539
225,train,0.25667883455753326
226,train,0.2530605122447014
227,train,0.23598593100905418
228,train,0.2131093144416809
229,train,0.1466980241239071
230,train,0.18426571041345596
231,train,0.20192617550492287
232,train,0.14978236705064774
233,train,0.18378927372395992
234,train,0.22479626908898354
235,train,0.2387876696884632
236,train,0.18173680268228054
237,train,0.25355829671025276
238,train,0.14833083003759384
239,train,0.17997492663562298
240,train,0.19237314723432064
